"서울시 기준일","서울시 확진자","서울시 추가 확진","서울시 치료중","서울시 퇴원","서울시 추가 퇴원","서울시 사망","서울시 의심환자 전체","서울시 의심환자 검사중","서울시 의심환자 검사결과(음성)","전국 기준일","전국 확진","전국 추가 확진","전국 치료중","전국 퇴원","전국 사망","전국 의심환자 전체","전국 의심환자 검사중","전국 의심환자 검사결과(음성)","자가격리자 해외입국자 감시중","자가격리자 해외입국자 감시해제","자가격리자 접촉자 감시중","자가격리자 접촉자 감시해제","확인중 확진자","서울시 당일사망자","전국 당일 사망자"
"2022.12.31.00","5663251","11601","0","","","6062","","","","2022.12.31.00","29059273","63104","0","","32156","","","","","","","","0","5","61"
"2022.12.30.00","5651699","11668","0","","","6057","","","","2022.12.30.00","28996347","65207","0","","32095","","","","","","","","0","8","68"
"2022.12.29.00","5640031","13396","0","","","6049","","","","2022.12.29.00","28931140","71427","0","","32027","","","","","","","","0","13","76"
"2022.12.28.00","5626635","15783","0","","","6036","","","","2022.12.28.00","28859713","87517","0","","31951","","","","","","","","0","10","69"
"2022.12.27.00","5610852","18725","0","","","6026","","","","2022.12.27.00","28772196","87596","0","","31882","","","","","","","","0","3","50"
"2022.12.26.00","5592127","3585","0","","","6023","","","","2022.12.26.00","28684600","25478","0","","31832","","","","","","","","0","8","42"
"2022.12.25.00","5588542","10508","0","","","6015","","","","2022.12.25.00","28659055","58448","0","","31790","","","","","","","","0","5","46"
"2022.12.24.00","5578034","12083","0","","","6010","","","","2022.12.24.00","28600607","66211","0","","31744","","","","","","","","0","11","70"
"2022.12.23.00","5566002","12414","0","","","5999","","","","2022.12.23.00","28534558","68168","0","","31674","","","","","","","","0","8","63"
"2022.12.22.00","5553588","13946","0","","","5991","","","","2022.12.22.00","28466390","75744","0","","31611","","","","","","","","0","10","62"
"2022.12.21.00","5539642","15564","0","","","5981","","","","2022.12.21.00","28390646","88172","0","","31549","","","","","","","","0","10","59"
"2022.12.20.00","5524078","18223","0","","","5971","","","","2022.12.20.00","28302474","87559","0","","31490","","","","","","","","0","12","56"
"2022.12.19.00","5505855","4191","0","","","5959","","","","2022.12.19.00","28214915","26622","0","","31434","","","","","","","","0","9","39"
"2022.12.18.00","5501664","10649","0","","","5950","","","","2022.12.18.00","28188293","58862","0","","31395","","","","","","","","0","9","42"
"2022.12.17.00","5491015","12404","0","","","5941","","","","2022.12.17.00","28129431","66930","0","","31353","","","","","","","","0","9","55"
"2022.12.16.00","5478664","12402","0","","","5932","","","","2022.12.16.00","28062679","66953","0","","31298","","","","","","","","0","8","66"
"2022.12.15.00","5466262","12830","0","","","5924","","","","2022.12.15.00","27995726","70154","0","","31232","","","","","","","","0","9","58"
"2022.12.14.00","5453432","15180","0","","","5915","","","","2022.12.14.00","27925572","84571","0","","31174","","","","","","","","0","7","46"
"2022.12.13.00","5438252","17696","0","","","5908","","","","2022.12.13.00","27841001","86852","0","","31128","","","","","","","","0","3","29"
"2022.12.12.00","5420556","3910","0","","","5905","","","","2022.12.12.00","27754149","25667","0","","31099","","","","","","","","0","3","30"
"2022.12.11.00","5416646","9603","0","","","5902","","","","2022.12.11.00","27728482","54319","0","","31069","","","","","","","","0","3","40"
"2022.12.10.00","5407043","11690","0","","","5899","","","","2022.12.10.00","27674163","62738","0","","31029","","","","","","","","0","8","54"
"2022.12.09.00","5395385","11853","0","","","5891","","","","2022.12.09.00","27611555","62734","0","","30975","","","","","","","","0","10","67"
"2022.12.08.00","53838532","11977","0","","","5881","","","","2022.12.08.00","27548821","65253","0","","30908","","","","","","","","0","9","61"
"2022.12.07.00","5371555","13747","0","","","5872","","","","2022.12.07.00","27483568","74714","0","","30847","","","","","","","","0","7","54"
"2022.12.06.00","5357808","16372","0","","","5865","","","","2022.12.06.00","27408854","77604","0","","30793","","","","","","","","0","7","24"
"2022.12.05.00","5341436","3921","0","","","5858","","","","2022.12.05.00","27331250","23160","0","","30769","","","","","","","","0","11","40"
"2022.12.04.00","5337515","8526","0","","","5847","","","","2022.12.04.00","27308090","46564","0","","30729","","","","","","","","0","7","60"
"2022.12.03.00","5328989","10369","0","","","5840","","","","2022.12.03.00","27261526","52861","0","","30669","","","","","","","","0","11","48"
"2022.12.02.00","5318646","10487","0","","","5829","","","","2022.12.02.00","27208800","52987","0","","30621","","","","","","","","0","5","53"
"2022.12.01.00","5308159","11034","0","","","5824","","","","2022.12.01.00","27155813","57079","0","","30568","","","","","","","","0","17","62"
"2022.11.30.00","5297125","12290","0","","","5807","","","","2022.11.30.00","27098734","67415","0","","30506","","","","","","","","0","11","52"
"2022.11.29.00","5284835","15501","0","","","5796","","","","2022.11.29.00","27031319","71476","0","","30454","","","","","","","","0","4","41"
"2022.11.28.00","5269334","3794","0","","","5792","","","","2022.11.28.00","26959843","22327","0","","30413","","","","","","","","0","13","44"
"2022.11.27.00","5265540","9160","0","","","5779","","","","2022.11.27.00","26937516","47028","0","","30369","","","","","","","","0","9","39"
"2022.11.26.00","5256380","10161","0","","","5770","","","","2022.11.26.00","26890488","52788","0","","30330","","","","","","","","0","5","52"
"2022.11.25.00","5246245","10684","0","","","5765","","","","2022.11.25.00","26837840","53698","0","","30278","","","","","","","","0","9","55"
"2022.11.24.00","5235561","11456","0","","","5756","","","","2022.11.24.00","26784142","59089","0","","30223","","","","","","","","0","14","59"
"2022.11.23.00","5224105","13499","0","","","5742","","","","2022.11.23.00","26725053","70324","0","","30164","","","","","","","","0","8","53"
"2022.11.22.00","5210606","15613","0","","","5734","","","","2022.11.22.00","26654729","72873","0","","30111","","","","","","","","0","11","45"
"2022.11.21.00","5194993","3826","0","","","5723","","","","2022.11.21.00","26581856","23091","0","","30066","","","","","","","","0","3","35"
"2022.11.20.00","5191167","8804","0","","","5720","","","","2022.11.20.00","26558765","46011","0","","30031","","","","","","","","0","5","41"
"2022.11.19.00","5182363","10124","0","","","5715","","","","2022.11.19.00","26512754","50589","0","","29990","","","","","","","","0","10","65"
"2022.11.18.00","5172272","9742","0","","","5705","","","","2022.11.18.00","26462319","49418","0","","29925","","","","","","","","0","12","63"
"2022.11.17.00","5162530","10846","0","","","5693","","","","2022.11.17.00","26412901","55437","0","","29862","","","","","","","","0","14","67"
"2022.11.16.00","5151684","12483","0","","","5679","","","","2022.11.16.00","26357464","66587","0","","29795","","","","","","","","0","10","47"
"2022.11.15.00","5139201","15539","0","","","5669","","","","2022.11.15.00","26290877","72883","0","","29748","","","","","","","","0","4","39"
"2022.11.14.00","5123662","3649","0","","","5665","","","","2022.11.14.00","26217994","23765","0","","29709","","","","","","","","0","5","44"
"2022.11.13.00","5120013","9263","0","","","5660","","","","2022.11.13.00","26194229","48465","0","","29665","","","","","","","","0","5","48"
"2022.11.12.00","5110750","10836","0","","","5655","","","","2022.11.12.00","26145764","54328","0","","29617","","","","","","","","0","12","46"
"2022.11.11.00","5099934","10903","0","","","5643","","","","2022.11.11.00","26091539","54519","0","","29571","","","","","","","","0","0","40"
"2022.11.10.00","5089031","11073","0","","","5643","","","","2022.11.10.00","26037020","55365","0","","29531","","","","","","","","0","6","52"
"2022.11.09.00","5077958","12481","0","","","5637","","","","2022.11.09.00","25981655","62472","0","","29479","","","","","","","","0","8","59"
"2022.11.08.00","5065477","14158","0","","","5629","","","","2022.11.08.00","25919183","62273","0","","29420","","","","","","","","0","3","30"
"2022.11.07.00","5051319","3320","0","","","5626","","","","2022.11.07.00","25856910","18671","0","","29390","","","","","","","","0","0","18"
"2022.11.06.00","5047999","7163","0","","","5626","","","","2022.11.06.00","25838239","36675","0","","29372","","","","","","","","0","3","18"
"2022.11.05.00","5040836","8104","0","","","5624","","","","2022.11.05.00","25801564","40903","0","","29354","","","","","","","","0","2","41"
"2022.11.04.00","5032737","8677","0","","","5622","","","","2022.11.04.00","25760701","43449","0","","29315","","","","","","","","0","5","35"
"2022.11.03.00","5024068","9547","0","","","5617","","","","2022.11.03.00","25717277","46896","0","","29280","","","","","","","","0","5","41"
"2022.11.02.00","5014526","10940","0","","","5612","","","","2022.11.02.00","25670407","54766","0","","29239","","","","","","","","0","4","30"
"2022.11.01.00","5003593","13017","0","","","5608","","","","2022.11.01.00","25615667","58379","0","","29209","","","","","","","","0","5","33"
"2022.10.31.00","4990582","3099","0","","","5603","","","","2022.10.31.00","25557309","18510","0","","29176","","","","","","","","0","5","18"
"2022.10.30.00","4987483","6708","0","","","5598","","","","2022.10.30.00","25538799","34511","0","","29158","","","","","","","","0","1","27"
"2022.10.29.00","4980775","7578","0","","","5597","","","","2022.10.29.00","25504288","37321","0","","29131","","","","","","","","0","3","31"
"2022.10.28.00","4973197","7480","0","","","5594","","","","2022.10.28.00","25466992","35924","0","","29100","","","","","","","","0","4","31"
"2022.10.27.00","4965729","6848","0","","","5590","","","","2022.10.27.00","25431105","34987","0","","29069","","","","","","","","0","3","26"
"2022.10.26.00","4958897","7906","0","","","5587","","","","2022.10.26.00","25396155","40842","0","","29043","","","","","","","","0","5","26"
"2022.10.25.00","4951008","10066","0","","","5582","","","","2022.10.25.00","25355350","43759","0","","29017","","","","","","","","0","5","17"
"2022.10.24.00","4940956","2438","0","","","5577","","","","2022.10.24.00","25311636","14302","0","","29000","","","","","","","","0","1","10"
"2022.10.23.00","4938518","5176","0","","","5576","","","","2022.10.23.00","25297334","26256","0","","28990","","","","","","","","0","1","16"
"2022.10.22.00","4933342","6016","0","","","5575","","","","2022.10.22.00","25271078","26906","0","","28974","","","","","","","","0","3","22"
"2022.10.21.00","4927337","5061","0","","","5572","","","","2022.10.21.00","25244255","24751","0","","28952","","","","","","","","0","3","30"
"2022.10.20.00","4922285","5416","0","","","5569","","","","2022.10.20.00","25219546","25431","0","","28922","","","","","","","","0","2","23"
"2022.10.19.00","4916878","5897","0","","","5567","","","","2022.10.19.00","25194177","29503","0","","28899","","","","","","","","0","6","43"
"2022.10.18.00","4910983","7531","0","","","5561","","","","2022.10.18.00","25164695","33248","0","","28856","","","","","","","","0","1","6"
"2022.10.17.00","4903463","1921","0","","","5560","","","","2022.10.17.00","25131505","11040","0","","28851","","","","","","","","0","2","11"
"2022.10.16.00","4901542","4191","0","","","5558","","","","2022.10.16.00","25120.465","21469","0","","28840","","","","","","","","0","4","32"
"2022.10.15.00","4897351","4579","0","","","5554","","","","2022.10.15.00","25098996","22844","0","","28808","","","","","","","","0","5","25"
"2022.10.14.00","4892777","4834","0","","","5549","","","","2022.10.14.00","25076239","23583","0","","28783","","","","","","","","0","9","35"
"2022.10.13.00","4887950","5254","0","","","5540","","","","2022.10.13.00","25052677","26957","0","","28748","","","","","","","","0","0","25"
"2022.10.12.00","4882697","6802","0","","","5540","","","","2022.10.12.00","25025749","30535","0","","28723","","","","","","","","0","4","15"
"2022.10.11.00","4875900","3054","0","","","5536","","","","2022.10.11.00","24995246","15476","0","","28708","","","","","","","","0","1","10"
"2022.10.10.00","4872846","1494","0","","","5535","","","","2022.10.10.00","24979770","8981","0","","28698","","","","","","","","0","4","23"
"2022.10.09.00","4871352","3552","0","","","5531","","","","2022.10.09.00","24970789","17654","0","","28675","","","","","","","","0","5","29"
"2022.10.08.00","4867800","3963","0","","","5526","","","","2022.10.08.00","24953135","19431","0","","28646","","","","","","","","0","6","32"
"2022.10.07.00","4863862","4319","0","","","5520","","","","2022.10.07.00","24933756","22298","0","","28614","","","","","","","","0","6","41"
"2022.10.06.00","4859554","5520","0","","","5514","","","","2022.10.06.00","24911497","28648","0","","28573","","","","","","","","0","10","29"
"2022.10.05.00","4854042","7674","0","","","5504","","","","2022.10.05.00","24882894","34739","0","","28544","","","","","","","","0","2","16"
"2022.10.04.00","4846376","3086","0","","","5502","","","","2022.10.04.00","24848184","16423","0","","28528","","","","","","","","0","2","19"
"2022.10.03.00","4843290","2025","0","","","5500","","","","2022.10.03.00","24831761","12150","0","","28509","","","","","","","","0","0","20"
"2022.10.02.00","4841265","4797","0","","","5500","","","","2022.10.02.00","24819611","23597","0","","28489","","","","","","","","0","9","44"
"2022.10.01.00","4836468","5584","0","","","5491","","","","2022.10.01.00","24796014","26960","0","","28445","","","","","","","","0","5","39"
"2022.09.30.00","4830891","5794","0","","","5486","","","","2022.09.30.00","24769101","28497","0","","28406","","","","","","","","0","5","42"
"2022.09.29.00","4825107","6270","0","","","5481","","","","2022.09.29.00","24740635","30881","0","","28364","","","","","","","","0","6","46"
"2022.09.28.00","4818845","7122","0","","","5475","","","","2022.09.28.00","24709789","36159","0","","28318","","","","","","","","0","8","46"
"2022.09.27.00","4811733","8557","0","","","5467","","","","2022.09.27.00","24673663","39425","0","","28272","","","","","","","","0","3","26"
"2022.09.26.00","4803181","2335","0","","","5464","","","","2022.09.26.00","24634296","14168","0","","28246","","","","","","","","0","4","33"
"2022.09.25.00","4800846","4888","0","","","5460","","","","2022.09.25.00","24620128","25792","0","","28213","","","","","","","","0","11","73"
"2022.09.24.00","4795958","5651","0","","","5449","","","","2022.09.24.00","24594336","29353","0","","28140","","","","","","","","0","11","63"
"2022.09.23.00","4790319","5625","0","","","5438","","","","2022.09.23.00","24565021","29108","0","","28077","","","","","","","","0","8","68"
"2022.09.22.00","4784699","6154","0","","","5430","","","","2022.09.22.00","24535940","33009","0","","28009","","","","","","","","0","13","59"
"2022.09.21.00","4778549","7358","0","","","5417","","","","2022.09.21.00","24502968","41286","0","","27950","","","","","","","","0","13","59"
"2022.09.20.00","4771203","9735","0","","","5404","","","","2022.09.20.00","24461737","47917","0","","27891","","","","","","","","0","4","24"
"2022.09.19.00","4761487","3199","0","","","5400","","","","2022.09.19.00","24413873","19407","0","","27867","","","","","","","","0","6","39"
"2022.09.18.00","4758288","5970","0","","","5394","","","","2022.09.18.00","24394466","34764","0","","27828","","","","","","","","0","6","46"
"2022.09.17.00","4752318","7659","0","","","5388","","","","2022.09.17.00","24359702","43457","0","","27782","","","","","","","","0","7","57"
"2022.09.16.00","4744665","9225","0","","","5381","","","","2022.09.16.00","24316302","51874","0","","27725","","","","","","","","0","6","60"
"2022.09.15.00","4735448","11819","0","","","5375","","","","2022.09.15.00","24264470","71471","0","","27665","","","","","","","","0","7","72"
"2022.09.14.00","4723634","17384","0","","","5368","","","","2022.09.14.00","24193038","93981","0","","27593","","","","","","","","0","10","60"
"2022.09.13.00","4706258","9552","0","","","5358","","","","2022.09.13.00","24099134","57309","0","","27533","","","","","","","","0","4","35"
"2022.09.12.00","4696706","6289","0","","","5354","","","","2022.09.12.00","24041825","36938","0","","27498","","","","","","","","0","2","22"
"2022.09.11.00","4690417","4807","0","","","5352","","","","2022.09.11.00","24004887","28214","0","","27476","","","","","","","","0","13","47"
"2022.09.10.00","4685610","6081","0","","","5339","","","","2022.09.10.00","23976673","42724","0","","27429","","","","","","","","0","7","48"
"2022.09.09.00","4679529","12315","0","","","5332","","","","2022.09.09.00","23933949","69410","0","","27381","","","","","","","","0","13","68"
"2022.09.08.00","4667217","13066","0","","","5319","","","","2022.09.08.00","23864560","72646","0","","27313","","","","","","","","0","6","64"
"2022.09.07.00","4654166","14538","0","","","5313","","","","2022.09.07.00","23791961","85540","0","","27249","","","","","","","","0","13","56"
"2022.09.06.00","4639649","18779","0","","","5300","","","","2022.09.06.00","23706477","99837","0","","27193","","","","","","","","0","4","44"
"2022.09.05.00","4620905","5319","0","","","5296","","","","2022.09.05.00","23606740","37548","0","","27149","","","","","","","","0","6","56"
"2022.09.04.00","4615586","11939","0","","","5290","","","","2022.09.04.00","23569192","72144","0","","27093","","","","","","","","0","13","79"
"2022.09.03.00","4603647","13899","0","","","5277","","","","2022.09.03.00","23497048","79746","0","","27014","","","","","","","","0","14","74"
"2022.09.02.00","4589795","15564","0","","","5263","","","","2022.09.02.00","23417425","89586","0","","26940","","","","","","","","0","12","64"
"2022.09.01.00","4574258","13325","0","","","5251","","","","2022.09.01.00","23327897","81573","0","","26876","","","","","","","","0","23","112"
"2022.08.31.00","4560954","15911","0","","","5228","","","","2022.08.31.00","23246398","103961","0","","26764","","","","","","","","0","10","75"
"2022.08.30.00","4545050","20418","0","","","5218","","","","2022.08.30.00","23142479","115638","0","","26689","","","","","","","","0","6","71"
"2022.08.29.00","4524644","5756","0","","","5212","","","","2022.08.29.00","23026960","43142","0","","26618","","","","","","","","0","10","49"
"2022.08.28.00","4518888","13052","0","","","5202","","","","2022.08.28.00","22983818","85295","0","","26569","","","","","","","","0","11","70"
"2022.08.27.00","4505836","14599","0","","","5191","","","","2022.08.27.00","22898523","95604","0","","26499","","","","","","","","0","12","86"
"2022.08.26.00","4491244","15757","0","","","5179","","","","2022.08.26.00","22802985","101140","0","","26413","","","","","","","","0","14","81"
"2022.08.25.00","4475520","17722","0","","","5165","","","","2022.08.25.00","22701921","113371","0","","26332","","","","","","","","0","10","108"
"2022.08.24.00","4457827","20578","0","","","5155","","","","2022.08.24.00","22588640","139339","0","","26224","","","","","","","","0","4","63"
"2022.08.23.00","4437282","25679","0","","","5151","","","","2022.08.23.00","22449475","150258","0","","26161","","","","","","","","0","11","52"
"2022.08.22.00","4411616","7395","0","","","5140","","","","2022.08.22.00","22299377","59046","0","","26109","","","","","","","","0","6","65"
"2022.08.21.00","4404221","16743","0","","","5134","","","","2022.08.21.00","22240331","110944","0","","26044","","","","","","","","0","5","64"
"2022.08.20.00","4387478","19973","0","","","5129","","","","2022.08.20.00","22129387","129411","0","","25980","","","","","","","","0","14","84"
"2022.08.19.00","4367518","21033","0","","","5115","","","","2022.08.19.00","22000037","138812","0","","25896","","","","","","","","0","14","83"
"2022.08.18.00","4346524","28375","0","","","5101","","","","2022.08.18.00","21861296","178574","0","","25813","","","","","","","","0","6","61"
"2022.08.17.00","4318180","32523","0","","","5095","","","","2022.08.17.00","21682816","180803","0","","25752","","","","","","","","0","7","42"
"2022.08.16.00","4285729","13060","0","","","5088","","","","2022.08.16.00","21502164","84128","0","","25710","","","","","","","","0","6","37"
"2022.08.15.00","4272669","8246","0","","","5082","","","","2022.08.15.00","21418036","62078","0","","25673","","","","","","","","0","5","50"
"2022.08.14.00","4264423","19596","0","","","5077","","","","2022.08.14.00","21355958","119603","0","","25623","","","","","","","","0","10","57"
"2022.08.13.00","4244827","21859","0","","","5067","","","","2022.08.13.00","21236355","124592","0","","25566","","","","","","","","0","9","67"
"2022.08.12.00","4222976","22835","0","","","5058","","","","2022.08.12.00","21111840","128714","0","","25499","","","","","","","","0","17","58"
"2022.08.11.00","4200150","24516","0","","","5041","","","","2022.08.11.00","20983169","137241","0","","25441","","","","","","","","0","11","59"
"2022.08.10.00","4175643","26068","0","","","5030","","","","2022.08.10.00","20845973","151792","0","","25382","","","","","","","","0","10","50"
"2022.08.09.00","4149586","29489","0","","","5020","","","","2022.08.09.00","20694239","149897","0","","25332","","","","","","","","0","8","40"
"2022.08.08.00","4120126","7867","0","","","5012","","","","2022.08.08.00","20544420","55292","0","","25292","","","","","","","","0","7","29"
"2022.08.07.00","4112259","18366","0","","","5005","","","","2022.08.07.00","20489128","105507","0","","25263","","","","","","","","0","2","27"
"2022.08.06.00","4093893","20160","0","","","5003","","","","2022.08.06.00","20383621","110666","0","","25236","","","","","","","","0","9","45"
"2022.08.05.00","4073752","20817","0","","","4994","","","","2022.08.05.00","20273011","112901","0","","25191","","","","","","","","0","9","47"
"2022.08.04.00","4052939","20239","0","","","4985","","","","2022.08.04.00","20160154","107894","0","","25144","","","","","","","","0","6","34"
"2022.08.03.00","4032709","23023","0","","","4979","","","","2022.08.03.00","20052305","119922","0","","25110","","","","","","","","0","5","26"
"2022.08.02.00","4009707","24615","0","","","4974","","","","2022.08.02.00","19932439","111789","0","","25084","","","","","","","","0","4","16"
"2022.08.01.00","3985115","7340","0","","","4970","","","","2022.08.01.00","19820739","44689","0","","25086","","","","","","","","0","1","21"
"2022.07.31.00","3977775","14149","0","","","4969","","","","2022.07.31.00","19776050","73589","0","","25047","","","","","","","","0","5","20"
"2022.07.30.00","3963626","16588","0","","","4964","","","","2022.07.30.00","19702461","82002","0","","25027","","","","","","","","0","6","35"
"2022.07.29.00","3947049","17517","0","","","4958","","","","2022.07.29.00","19620517","85320","0","","24992","","","","","","","","0","4","35"
"2022.07.28.00","3929537","18169","0","","","4954","","","","2022.07.28.00","19535242","88384","0","","24957","","","","","","","","0","5","25"
"2022.07.27.00","3911407","20083","0","","","4949","","","","2022.07.27.00","19446946","100285","0","","24932","","","","","","","","0","5","25"
"2022.07.26.00","3891336","23107","0","","","4944","","","","2022.07.26.00","19346764","99327","0","","24907","","","","","","","","0","1","17"
"2022.07.25.00","3868256","5967","0","","","4943","","","","2022.07.25.00","19247496","35883","0","","24890","","","","","","","","0","5","17"
"2022.07.24.00","3862289","13809","0","","","4938","","","","2022.07.24.00","19211613","65433","0","","24873","","","","","","","","0","3","18"
"2022.07.23.00","3848480","14830","0","","","4935","","","","2022.07.23.00","19146180","68551","0","","24855","","","","","","","","0","4","30"
"2022.07.22.00","3833658","15379","0","","","4931","","","","2022.07.22.00","19077659","68632","0","","24825","","","","","","","","0","4","31"
"2022.07.21.00","3818284","16670","0","","","4927","","","","2022.07.21.00","19009080","71170","0","","24794","","","","","","","","0","4","17"
"2022.07.20.00","3801622","17199","0","","","4923","","","","2022.07.20.00","18937971","76402","0","","24777","","","","","","","","0","2","12"
"2022.07.19.00","3784432","18038","0","","","4921","","","","2022.07.19.00","18861593","73582","0","","24765","","","","","","","","0","0","12"
"2022.07.18.00","3766412","4896","0","","","4921","","","","2022.07.18.00","18788056","26299","0","","24753","","","","","","","","0","3","11"
"2022.07.17.00","3761516","8565","0","","","4918","","","","2022.07.17.00","18761757","40342","0","","24742","","","","","","","","0","2","14"
"2022.07.16.00","3752951","9457","0","","","4916","","","","2022.07.16.00","18721415","41310","0","","24728","","","","","","","","0","2","16"
"2022.07.15.00","3743496","8951","0","","","4914","","","","2022.07.15.00","18680142","38882","0","","24712","","","","","","","","0","2","16"
"2022.07.14.00","3734550","9655","0","","","4912","","","","2022.07.14.00","18641278","39196","0","","24696","","","","","","","","0","3","16"
"2022.07.13.00","3724897","9363","0","","","4909","","","","2022.07.13.00","18602109","40266","0","","24680","","","","","","","","0","2","12"
"2022.07.12.00","3715539","9412","0","","","4907","","","","2022.07.12.00","18561861","37360","0","","24668","","","","","","","","0","0","7"
"2022.07.11.00","3706133","2622","0","","","4907","","","","2022.07.11.00","18524538","12693","0","","24661","","","","","","","","0","2","18"
"2022.07.10.00","3703511","5244","0","","","4905","","","","2022.07.10.00","18511845","20410","0","","24643","","","","","","","","0","0","19"
"2022.07.09.00","3698267","4900","0","","","4905","","","","2022.07.09.00","18491435","20286","0","","24624","","","","","","","","0","2","19"
"2022.07.08.00","3693368","4605","0","","","4903","","","","2022.07.08.00","18471172","19323","0","","24605","","","","","","","","0","2","12"
"2022.07.07.00","3688769","4580","0","","","4901","","","","2022.07.07.00","18451862","18511","0","","24593","","","","","","","","0","1","10"
"2022.07.06.00","3684190","4770","0","","","4900","","","","2022.07.06.00","18433359","19371","0","","24583","","","","","","","","0","2","7"
"2022.07.05.00","3679421","4779","0","","","4898","","","","2022.07.05.00","18413997","18147","0","","24576","","","","","","","","0","1","2"
"2022.07.04.00","3674645","1161","0","","","4897","","","","2022.07.04.00","18395864","6253","0","","24574","","","","","","","","0","1","4"
"2022.07.03.00","3673484","2440","0","","","4896","","","","2022.07.03.00","18389611","10059","0","","24570","","","","","","","","0","2","8"
"2022.07.02.00","3671044","2778","0","","","4894","","","","2022.07.02.00","18379552","10715","0","","24562","","","","","","","","0","3","7"
"2022.07.01.00","3668271","2340","0","","","4891","","","","2022.07.01.00","18368857","9528","0","","24555","","","","","","","","0","2","8"
"2022.06.30.00","3665933","2282","0","","","4889","","","","2022.06.30.00","18359341","9595","0","","24547","","","","","","","","0","1","10"
"2022.06.29.00","3663653","2479","0","","","4888","","","","2022.06.29.00","18349756","10463","0","","24537","","","","","","","","0","2","7"
